ts,windGustSpeed10m
1667898000000000000,20.34000015258789
1667908800000000000,18.8799991607666
1667919600000000000,18.0
1667930400000000000,16.979999542236328
1667941200000000000,20.579999923706055
1667952000000000000,15.430000305175781
1667962800000000000,13.579999923706055
1667973600000000000,11.390000343322754
1667984400000000000,13.029999732971191
1667995200000000000,13.229999542236328
1668006000000000000,12.859999656677246
1668016800000000000,11.34000015258789
1668027600000000000,9.84000015258789
1668038400000000000,12.380000114440918
1668049200000000000,13.369999885559082
1668060000000000000,13.220000267028809
1668070800000000000,13.119999885559082
1668081600000000000,13.0
1668092400000000000,13.550000190734863
1668103200000000000,12.180000305175781
1668114000000000000,12.65999984741211
1668124800000000000,13.170000076293945
1668135600000000000,13.890000343322754
1668146400000000000,15.010000228881836
1668157200000000000,13.4399995803833
1668168000000000000,11.470000267028809
1668178800000000000,8.989999771118164
1668189600000000000,6.230000019073486
1668200400000000000,6.690000057220459
1668211200000000000,5.769999980926514
1668222000000000000,6.539999961853027
1668232800000000000,6.599999904632568
1668243600000000000,6.170000076293945
1668254400000000000,7.71999979019165
1668265200000000000,9.260000228881836
1668276000000000000,10.289999961853027
1668286800000000000,8.229999542236328
1668297600000000000,8.229999542236328
1668308400000000000,6.170000076293945
1668319200000000000,8.75
1668330000000000000,8.229999542236328
1668340800000000000,7.71999979019165
1668351600000000000,8.229999542236328
1668362400000000000,8.229999542236328
1668373200000000000,6.690000057220459
1668384000000000000,6.949999809265137
1668394800000000000,4.119999885559082
1668405600000000000,6.170000076293945
1668416400000000000,5.659999847412109
1668427200000000000,6.170000076293945
1668438000000000000,6.690000057220459
1668448800000000000,12.039999961853027
1668459600000000000,10.279999732971191
1668470400000000000,17.450000762939453
1668481200000000000,16.040000915527344
1668492000000000000,16.799999237060547
1668502800000000000,18.270000457763672
1668513600000000000,20.579999923706055
1668524400000000000,15.489999771118164
1668535200000000000,16.510000228881836
1668546000000000000,11.34000015258789
1668556800000000000,12.399999618530273
1668567600000000000,12.859999656677246
1668578400000000000,15.430000305175781
1668589200000000000,10.130000114440918
1668600000000000000,13.359999656677246
1668610800000000000,13.270000457763672
1668621600000000000,16.260000228881836
1668632400000000000,15.369999885559082
1668643200000000000,15.680000305175781
1668654000000000000,17.530000686645508
1668664800000000000,15.09000015258789
1668675600000000000,14.399999618530273
1668686400000000000,13.569999694824219
1668697200000000000,11.470000267028809
1668708000000000000,12.529999732971191
1668718800000000000,13.699999809265137
1668729600000000000,13.989999771118164
1668740400000000000,12.930000305175781
1668751200000000000,12.039999961853027
1668762000000000000,12.170000076293945
1668772800000000000,12.520000457763672
1668783600000000000,11.390000343322754
1668794400000000000,10.0600004196167
1668805200000000000,9.260000228881836
1668816000000000000,8.569999694824219
1668826800000000000,8.119999885559082
1668837600000000000,7.829999923706055
1668848400000000000,7.929999828338623
1668859200000000000,8.140000343322754
1668870000000000000,7.159999847412109
1668880800000000000,6.860000133514404
1668891600000000000,10.029999732971191
1668902400000000000,13.170000076293945
1668913200000000000,15.149999618530273
1668924000000000000,13.279999732971191
1668934800000000000,13.420000076293945
1668945600000000000,15.520000457763672
1668956400000000000,13.920000076293945
1668967200000000000,13.170000076293945
1668978000000000000,12.180000305175781
1668988800000000000,10.0
1668999600000000000,8.9399995803833
1669010400000000000,11.180000305175781
1669021200000000000,13.520000457763672
1669032000000000000,14.15999984741211
1669042800000000000,12.479999542236328
1669053600000000000,11.380000114440918
1669064400000000000,11.989999771118164
1669075200000000000,12.199999809265137
1669086000000000000,12.350000381469727
1669096800000000000,12.319999694824219
1669107600000000000,12.220000267028809
1669118400000000000,12.25
1669129200000000000,10.670000076293945
1669140000000000000,9.25
1669150800000000000,9.989999771118164
1669161600000000000,10.850000381469727
1669172400000000000,11.140000343322754
1669183200000000000,11.739999771118164
1669194000000000000,13.239999771118164
1669204800000000000,14.640000343322754
