ts,uvIndex
1667898000000.0,1
1667908800000.0,1
1667919600000.0,1
1667930400000.0,0
1667941200000.0,0
1667952000000.0,0
1667962800000.0,0
1667973600000.0,0
1667984400000.0,1
1667995200000.0,1
1668006000000.0,1
1668016800000.0,0
1668027600000.0,0
1668038400000.0,0
1668049200000.0,0
1668060000000.0,0
1668070800000.0,1
1668081600000.0,1
1668092400000.0,1
1668103200000.0,0
1668114000000.0,0
1668124800000.0,0
1668135600000.0,0
1668146400000.0,0
1668157200000.0,1
1668168000000.0,1
1668178800000.0,1
1668189600000.0,0
1668200400000.0,0
1668211200000.0,0
1668222000000.0,0
1668232800000.0,0
1668243600000.0,1
1668254400000.0,1
1668265200000.0,1
1668276000000.0,0
1668286800000.0,0
1668297600000.0,0
1668308400000.0,0
1668319200000.0,0
1668330000000.0,1
1668340800000.0,1
1668351600000.0,1
1668362400000.0,0
1668373200000.0,0
1668384000000.0,0
1668394800000.0,0
1668405600000.0,0
1668416400000.0,1
1668427200000.0,1
1668438000000.0,1
1668448800000.0,0
1668459600000.0,0
1668470400000.0,0
1668481200000.0,0
1668492000000.0,0
1668502800000.0,1
1668513600000.0,1
1668524400000.0,1
1668535200000.0,0
1668546000000.0,0
1668556800000.0,0
1668567600000.0,0
1668578400000.0,0
1668589200000.0,1
1668600000000.0,1
1668610800000.0,1
1668621600000.0,0
1668632400000.0,0
1668643200000.0,0
1668654000000.0,0
1668664800000.0,0
1668675600000.0,1
1668686400000.0,1
1668697200000.0,1
1668708000000.0,0
1668718800000.0,0
1668729600000.0,0
1668740400000.0,0
1668751200000.0,0
1668762000000.0,1
1668772800000.0,1
1668783600000.0,1
1668794400000.0,0
1668805200000.0,0
1668816000000.0,0
1668826800000.0,0
1668837600000.0,0
1668848400000.0,1
1668859200000.0,1
1668870000000.0,1
1668880800000.0,0
1668891600000.0,0
1668902400000.0,0
1668913200000.0,0
1668924000000.0,0
1668934800000.0,1
1668945600000.0,1
1668956400000.0,1
1668967200000.0,0
1668978000000.0,0
1668988800000.0,0
1668999600000.0,0
1669010400000.0,0
1669021200000.0,1
1669032000000.0,1
1669042800000.0,1
1669053600000.0,0
1669064400000.0,0
1669075200000.0,0
1669086000000.0,0
1669096800000.0,0
1669107600000.0,1
1669118400000.0,1
1669129200000.0,1
1669140000000.0,0
1669150800000.0,0
1669161600000.0,0
1669172400000.0,0
1669183200000.0,0
1669194000000.0,1
1669204800000.0,1
