ts,windSpeed10m
1667898000000000000,16.950000762939453
1667908800000000000,15.640000343322754
1667919600000000000,11.779999732971191
1667930400000000000,13.989999771118164
1667941200000000000,13.460000038146973
1667952000000000000,10.90999984741211
1667962800000000000,11.119999885559082
1667973600000000000,8.220000267028809
1667984400000000000,9.859999656677246
1667995200000000000,10.770000457763672
1668006000000000000,9.239999771118164
1668016800000000000,7.869999885559082
1668027600000000000,6.019999980926514
1668038400000000000,9.739999771118164
1668049200000000000,9.0600004196167
1668060000000000000,10.489999771118164
1668070800000000000,9.40999984741211
1668081600000000000,10.609999656677246
1668092400000000000,10.460000038146973
1668103200000000000,8.430000305175781
1668114000000000000,8.890000343322754
1668124800000000000,8.829999923706055
1668135600000000000,10.260000228881836
1668146400000000000,12.270000457763672
1668157200000000000,11.199999809265137
1668168000000000000,8.970000267028809
1668178800000000000,7.489999771118164
1668189600000000000,5.190000057220459
1668200400000000000,2.9100000858306885
1668211200000000000,3.4600000381469727
1668222000000000000,5.449999809265137
1668232800000000000,5.5
1668243600000000000,3.3399999141693115
1668254400000000000,5.760000228881836
1668265200000000000,4.940000057220459
1668276000000000000,6.070000171661377
1668286800000000000,5.760000228881836
1668297600000000000,3.190000057220459
1668308400000000000,2.4200000762939453
1668319200000000000,4.119999885559082
1668330000000000000,4.579999923706055
1668340800000000000,5.139999866485596
1668351600000000000,5.400000095367432
1668362400000000000,3.5999999046325684
1668373200000000000,4.170000076293945
1668384000000000000,5.789999961853027
1668394800000000000,2.059999942779541
1668405600000000000,2.4200000762939453
1668416400000000000,2.5299999713897705
1668427200000000000,2.930000066757202
1668438000000000000,2.5
1668448800000000000,8.649999618530273
1668459600000000000,8.140000343322754
1668470400000000000,14.539999961853027
1668481200000000000,13.359999656677246
1668492000000000000,14.0
1668502800000000000,15.229999542236328
1668513600000000000,15.579999923706055
1668524400000000000,12.90999984741211
1668535200000000000,13.720000267028809
1668546000000000000,9.40999984741211
1668556800000000000,9.130000114440918
1668567600000000000,10.220000267028809
1668578400000000000,11.8100004196167
1668589200000000000,4.989999771118164
1668600000000000000,11.130000114440918
1668610800000000000,10.869999885559082
1668621600000000000,11.9399995803833
1668632400000000000,11.670000076293945
1668643200000000000,11.460000038146973
1668654000000000000,12.050000190734863
1668664800000000000,10.359999656677246
1668675600000000000,10.140000343322754
1668686400000000000,9.649999618530273
1668697200000000000,8.109999656677246
1668708000000000000,8.380000114440918
1668718800000000000,9.350000381469727
1668729600000000000,9.510000228881836
1668740400000000000,8.729999542236328
1668751200000000000,7.949999809265137
1668762000000000000,8.010000228881836
1668772800000000000,8.300000190734863
1668783600000000000,7.539999961853027
1668794400000000000,6.539999961853027
1668805200000000000,5.949999809265137
1668816000000000000,5.460000038146973
1668826800000000000,5.150000095367432
1668837600000000000,4.940000057220459
1668848400000000000,4.980000019073486
1668859200000000000,4.929999828338623
1668870000000000000,4.489999771118164
1668880800000000000,4.320000171661377
1668891600000000000,6.480000019073486
1668902400000000000,8.520000457763672
1668913200000000000,9.829999923706055
1668924000000000000,8.539999961853027
1668934800000000000,8.600000381469727
1668945600000000000,9.75
1668956400000000000,8.960000038146973
1668967200000000000,8.510000228881836
1668978000000000000,7.889999866485596
1668988800000000000,6.5
1668999600000000000,5.809999942779541
1669010400000000000,7.050000190734863
1669021200000000000,8.40999984741211
1669032000000000000,8.649999618530273
1669042800000000000,7.670000076293945
1669053600000000000,7.039999961853027
1669064400000000000,7.429999828338623
1669075200000000000,7.590000152587891
1669086000000000000,7.679999828338623
1669096800000000000,7.639999866485596
1669107600000000000,7.440000057220459
1669118400000000000,7.300000190734863
1669129200000000000,6.46999979019165
1669140000000000000,5.809999942779541
1669150800000000000,6.269999980926514
1669161600000000000,6.800000190734863
1669172400000000000,7.0
1669183200000000000,7.340000152587891
1669194000000000000,8.180000305175781
1669204800000000000,8.920000076293945
